Name,Team,Role,Indian,Credits
Ruturaj Gaikwad,CSK,batter,TRUE,105
C Andre Siddarth,CSK,batter,TRUE,65
Vansh Bedi,CSK,batter,TRUE,65
Devon Conway,CSK,batter,FALSE,95
MS Dhoni,CSK,batter,TRUE,90
Shaik Rasheed,CSK,batter,TRUE,65
Rahul Tripathi,CSK,batter,TRUE,85
Ravichandran Ashwin,CSK,allrounder,TRUE,90
Sam Curran,CSK,allrounder,FALSE,90
Shivam Dube,CSK,allrounder,TRUE,90
Ramakrishna Ghosh,CSK,allrounder,TRUE,65
Shreyas Gopal,CSK,allrounder,TRUE,75
Deepak Hooda,CSK,allrounder,TRUE,80
Ravindra Jadeja,CSK,allrounder,TRUE,105
Anshul Kamboj,CSK,allrounder,TRUE,65
Jamie Overton,CSK,allrounder,FALSE,80
Rachin Ravindra,CSK,allrounder,FALSE,85
Vijay Shankar,CSK,allrounder,TRUE,75
Khaleel Ahmed,CSK,bowler,TRUE,85
Nathan Ellis,CSK,bowler,FALSE,85
Gurjapneet Singh,CSK,bowler,TRUE,65
Mukesh Choudhary,CSK,bowler,TRUE,75
Kamlesh Nagarkoti,CSK,bowler,TRUE,70
Noor Ahmad,CSK,bowler,FALSE,80
Matheesha Pathirana,CSK,bowler,FALSE,85
