Name,Team,Role,Indian,Credits
KL Rahul,DC,batter,TRUE,100
Faf du Plessis,DC,batter,FALSE,95
Harry Brook,DC,batter,FALSE,90
Tristan Stubbs,DC,batter,FALSE,90
Jake Fraser-McGurk,DC,batter,FALSE,90
Karun Nair,DC,batter,TRUE,75
Abishek Porel,DC,batter,TRUE,75
Sameer Rizvi,DC,batter,TRUE,70
Axar Patel,DC,allrounder,TRUE,95
Donovan Ferreira,DC,allrounder,FALSE,80
Ashutosh Sharma,DC,allrounder,TRUE,70
Ajay Mandal,DC,allrounder,TRUE,65
Manvanth Kumar,DC,allrounder,TRUE,65
Madhav Tiwari,DC,allrounder,TRUE,65
Mitchell Starc,DC,bowler,FALSE,100
Kuldeep Yadav,DC,bowler,TRUE,95
T Natarajan,DC,bowler,TRUE,90
Mohit Sharma,DC,bowler,TRUE,85
Mukesh Kumar,DC,bowler,TRUE,85
Dushmantha Chameera,DC,bowler,FALSE,80
Darshan Nalkande,DC,bowler,TRUE,70
Vipraj Nigam,DC,bowler,TRUE,65
Tripurana Vijay,DC,bowler,TRUE,65
