Name,Team,Role,Indian,Credits
Shubman Gill,GT,batter,True,105
Anuj Rawat,GT,batter,True,70
Jos Buttler,GT,batter,False,110
Kumar Kushagra,GT,batter,True,65
Sherfane Rutherford,GT,batter,False,75
Sai Sudharsan,GT,batter,True,85
M Shahrukh Khan,GT,batter,True,75
Rashid Khan,GT,allrounder,False,115
Karim Janat,GT,allrounder,False,70
Mahipal Lomror,GT,allrounder,True,70
Glenn Phillips,GT,allrounder,False,85
Nishant Sindhu,GT,allrounder,True,65
Manav Suthar,GT,allrounder,True,60
Rahul Tewatia,GT,allrounder,True,85
Washington Sundar,GT,allrounder,True,85
Arshad Khan,GT,bowler,True,65
Gerald Coetzee,GT,bowler,False,90
Gurnoor Brar,GT,bowler,True,60
Kulwant Khejroliya,GT,bowler,True,65
Mohammed Siraj,GT,bowler,True,95
Prasidh Krishna,GT,bowler,True,85
Kagiso Rabada,GT,bowler,False,100
Sai Kishore,GT,bowler,True,75
Ishant Sharma,GT,bowler,True,80
Jayant Yadav,GT,bowler,True,75
