Name,Team,Role,Indian,Credits
Ajinkya Rahane,KKR,batter,True,85
Quinton de Kock,KKR,batter,False,95
Manish Pandey,KKR,batter,True,75
Rovman Powell,KKR,batter,False,85
Angkrish Raghuvanshi,KKR,batter,True,65
Rahmanullah Gurbaz,KKR,batter,False,80
Ramandeep Singh,KKR,batter,True,65
Rinku Singh,KKR,batter,True,90
Luvnith Sisodia,KKR,batter,True,60
Venkatesh Iyer,KKR,allrounder,True,85
Moeen Ali,KKR,allrounder,False,85
Sunil Narine,KKR,allrounder,False,100
Anukul Roy,KKR,allrounder,True,70
Andre Russell,KKR,allrounder,False,110
Vaibhav Arora,KKR,bowler,True,65
Harshit Rana,KKR,bowler,True,70
Spencer Johnson,KKR,bowler,False,75
Mayank Markande,KKR,bowler,True,75
Anrich Nortje,KKR,bowler,False,95
Chetan Sakariya,KKR,bowler,True,75
Varun Chakravarthy,KKR,bowler,True,90
Umran Malik,KKR,bowler,True,85
