Name,Team,Role,Indian,Credits
Rishabh Pant,LSG,batter,TRUE,100
Abdul Samad,LSG,batter,TRUE,80
Ayush Badoni,LSG,batter,TRUE,80
Matthew Breetzke,LSG,batter,FALSE,70
Himmat Singh,LSG,batter,TRUE,65
Aryan Juyal,LSG,batter,TRUE,65
David Miller,LSG,batter,FALSE,90
Nicholas Pooran,LSG,batter,FALSE,100
Yuvraj Chaudhary,LSG,allrounder,TRUE,65
Rajvardhan Hangargekar,LSG,allrounder,TRUE,75
Arshin Kulkarni,LSG,allrounder,TRUE,65
Aiden Markram,LSG,allrounder,FALSE,90
Mitchell Marsh,LSG,allrounder,FALSE,95
Shahbaz Ahmed,LSG,allrounder,TRUE,80
Akash Deep,LSG,bowler,TRUE,75
Akash Singh,LSG,bowler,TRUE,70
Avesh Khan,LSG,bowler,TRUE,90
Shamar Joseph,LSG,bowler,FALSE,85
Mohsin Khan,LSG,bowler,TRUE,80
Prince Yadav,LSG,bowler,TRUE,65
Digvesh Rathi,LSG,bowler,TRUE,65
Ravi Bishnoi,LSG,bowler,TRUE,95
Manimaran Siddharth,LSG,bowler,TRUE,65
Mayank Yadav,LSG,bowler,TRUE,70
