Name,Team,Role,Indian,Credits
Suryakumar Yadav,MI,batter,TRUE,100
Bevon Jacobs,MI,batter,FALSE,70
Robin Minz,MI,batter,TRUE,70
Naman Dhir,MI,batter,TRUE,85
Ryan Rickelton,MI,batter,FALSE,90
Rohit Sharma,MI,batter,TRUE,100
Krishnan Shrijith,MI,batter,TRUE,65
Raj Bawa,MI,allrounder,TRUE,65
Corbin Bosch,MI,allrounder,FALSE,65
Will Jacks,MI,allrounder,FALSE,90
Hardik Pandya,MI,allrounder,TRUE,100
Mitchell Santner,MI,allrounder,FALSE,90
Tilak Varma,MI,allrounder,TRUE,100
Ashwani Kumar,MI,bowler,TRUE,65
Trent Boult,MI,bowler,FALSE,95
Jasprit Bumrah,MI,bowler,TRUE,105
Deepak Chahar,MI,bowler,TRUE,90
Mujeeb Ur Rahman,MI,bowler,FALSE,90
Vignesh Puthur,MI,bowler,TRUE,65
Satyanarayana Raju,MI,bowler,TRUE,65
Karn Sharma,MI,bowler,TRUE,75
Arjun Tendulkar,MI,bowler,TRUE,75
Reece Topley,MI,bowler,FALSE,85
AM Ghazanfar,MI,bowler,FALSE,65
Lizaad Williams,MI,bowler,FALSE,75
