Name,Team,Role,Indian,Credits
Shreyas Iyer,PBKS,batter,True,95
Priyansh Arya,PBKS,batter,True,65
Pyla Avinash,PBKS,batter,True,60
Harnoor Singh,PBKS,batter,True,65
Josh Inglis,PBKS,batter,False,85
Prabhsimran Singh,PBKS,batter,True,80
Vishnu Vinod,PBKS,batter,True,70
Nehal Wadhera,PBKS,batter,True,75
Azmatullah Omarzai,PBKS,allrounder,False,85
Aaron Hardie,PBKS,allrounder,False,80
Marco Jansen,PBKS,allrounder,False,90
Glenn Maxwell,PBKS,allrounder,False,110
Musheer Khan,PBKS,allrounder,True,70
Shashank Singh,PBKS,allrounder,True,75
Marcus Stoinis,PBKS,allrounder,False,95
Suryansh Shedge,PBKS,allrounder,True,65
Arshdeep Singh,PBKS,bowler,True,95
Xavier Bartlett,PBKS,bowler,False,75
Yuzvendra Chahal,PBKS,bowler,True,100
Praveen Dubey,PBKS,bowler,True,70
Lockie Ferguson,PBKS,bowler,False,90
Harpreet Brar,PBKS,bowler,True,80
Kuldeep Sen,PBKS,bowler,True,75
Vijaykumar Vyshak,PBKS,bowler,True,70
Yash Thakur,PBKS,bowler,True,70
