Name,Team,Role,Indian,Credits
Rajat Patidar,RCB,batter,TRUE,90
Swastik Chikara,RCB,batter,TRUE,65
Tim David,RCB,batter,FALSE,90
Virat Kohli,RCB,batter,TRUE,105
Devdutt Padikkal,RCB,batter,TRUE,85
Phil Salt,RCB,batter,FALSE,95
Jitesh Sharma,RCB,batter,TRUE,85
Jacob Bethell,RCB,allrounder,FALSE,70
Manoj Bhandage,RCB,allrounder,TRUE,65
Liam Livingstone,RCB,allrounder,FALSE,95
Mohit Rathee,RCB,allrounder,TRUE,65
Krunal Pandya,RCB,allrounder,TRUE,90
Romario Shepherd,RCB,allrounder,FALSE,80
Abhinandan Singh,RCB,bowler,TRUE,65
Josh Hazlewood,RCB,bowler,FALSE,95
Bhuvneshwar Kumar,RCB,bowler,TRUE,90
Lungi Ngidi,RCB,bowler,FALSE,85
Rasikh Salam,RCB,bowler,TRUE,70
Suyash Sharma,RCB,bowler,TRUE,75
Swapnil Singh,RCB,bowler,TRUE,70
Nuwan Thushara,RCB,bowler,FALSE,75
Yash Dayal,RCB,bowler,TRUE,80
