Name,Team,Role,Indian,Credits
Riyan Parag,RR,batter,True,85
Shubham Dubey,RR,batter,True,65
Shimron Hetmyer,RR,batter,False,90
Yashasvi Jaiswal,RR,batter,True,100
Dhruv Jurel,RR,batter,True,80
Nitish Rana,RR,batter,True,85
Kunal Singh Rathore,RR,batter,True,65
Sanju Samson,RR,batter,True,95
Vaibhav Suryavanshi,RR,batter,True,60
Wanindu Hasaranga,RR,allrounder,False,100
Jofra Archer,RR,bowler,False,95
Ashok Sharma,RR,bowler,True,65
Tushar Deshpande,RR,bowler,True,75
Fazalhaq Farooqi,RR,bowler,False,80
Kumar Kartikeya,RR,bowler,True,75
Akash Madhwal,RR,bowler,True,75
Kwena Maphaka,RR,bowler,False,70
Sandeep Sharma,RR,bowler,True,80
Maheesh Theekshana,RR,bowler,False,90
Yudhvir Singh,RR,bowler,True,70
