Name,Team,Role,Indian,Credits
Travis Head,SRH,batter,False,95
Ishan Kishan,SRH,batter,True,95
Heinrich Klaasen,SRH,batter,False,95
Sachin Baby,SRH,batter,True,70
Aniket Verma,SRH,batter,True,65
Abhishek Sharma,SRH,allrounder,True,85
Abhinav Manohar,SRH,allrounder,True,75
Kamindu Mendis,SRH,allrounder,False,80
Wiaan Mulder,SRH,allrounder,False,80
Nitish Kumar Reddy,SRH,allrounder,True,70
Atharva Taide,SRH,allrounder,True,65
Brydon Carse,SRH,allrounder,False,75
Pat Cummins,SRH,bowler,False,110
Rahul Chahar,SRH,bowler,True,85
Eshan Malinga,SRH,bowler,False,75
Mohammed Shami,SRH,bowler,True,100
Harshal Patel,SRH,bowler,True,90
Simarjeet Singh,SRH,bowler,True,75
Jaydev Unadkat,SRH,bowler,True,80
Adam Zampa,SRH,bowler,False,90
Zeeshan Ansari,SRH,bowler,True,65
